Song Take,Song Name,Ragam,Composer,Janya Number,Youtube Link,Shruti
1,Shree-Vignarajam,Gambhira-Nattai,Ootukada-Venkatasubaiyar,36,https://www.youtube.com/watch?v=BoAs05YjXsc&list=PLkCqsZqFoDzqtFWMdQLffRg4lyjJ1sBcp&ab_channel=TrichurBrothers,7 Kattai
2,Shree-Vignarajam,Gambhira-Nattai,Ootukada-Venkatasubaiyar,36,https://www.youtube.com/watch?v=P-lLiYa1uF8,7 Kattai
1,Ganamurte,Ganamurti,Thyagaraja,3,https://www.youtube.com/watch?v=X2UORRf8xoU&ab_channel=SanjaySubrahmanyan,4 Kattai
2,Ganamurte,Ganamurti,Thyagaraja,3,https://www.youtube.com/watch?v=TlSSn3DLyAs&ab_channel=CarnaticEcstasy,2 Kattai
1,Maa-Madhura,Ganamurti,Koteeshwara-Iyer,3,https://www.youtube.com/watch?v=mKCDzv0U8uk&ab_channel=S.Rajam-Topic,3 Kattai
2,Maa-Madhura,Ganamurti,Koteeshwara-Iyer,3,https://www.youtube.com/watch?v=OEcnUJJZOiE&ab_channel=SubramanianKrishnan,4 Kattai
1,Ninai-Maname-Nee,Gangayabhushani,Koteeshwara-Iyer,33,https://www.youtube.com/watch?v=2Ir8Q8p-aMg&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=38,3 Kattai
2,Ninai-Maname-Nee,Gangayabhushani,Koteeshwara-Iyer,33,https://www.youtube.com/watch?v=qzlWESBvUsA&ab_channel=PraapthiEvents,1 Kattai
1,Tatvameruga-Tarama,Garudadhvani,Thyagaraja,29,https://www.youtube.com/watch?v=v86ij5VhreU&ab_channel=CarnaticEcstasy,2 Kattai
2,Tatvameruga-Tarama,Garudadhvani,Thyagaraja,29,https://www.youtube.com/watch?v=iKHhUAkrlFM&ab_channel=SuswaraLahari%28NarayanKumar%29,5 Kattai
1,Naada-Nilai,Gayakapriya,Koteeshwara-Iyer,13,https://www.youtube.com/watch?v=lRV6s3YGaXU&ab_channel=CharsurArtsFoundation,3 Kattai
2,Naada-Nilai,Gayakapriya,Koteeshwara-Iyer,13,https://www.youtube.com/watch?v=q6jO5c9-nng&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=8,2 Kattai
1,Sri-Kamalambike,Ghanta,Mutthuswami-Dikshitar,8,https://www.youtube.com/watch?v=DZ2D1TR13ck&ab_channel=SuswaraLahari%28NarayanKumar%29,7 Kattai
2,Sri-Kamalambike,Ghanta,Mutthuswami-Dikshitar,8,https://www.youtube.com/watch?v=f_4qU9hXjFI&ab_channel=SanjaySubrahmanyan,3 Kattai
1,Viraivaagave,Ghavambhodi,Koteeshwara-Iyer,43,https://www.youtube.com/watch?v=hrEFjsuQ0G8&ab_channel=SubramanianKrishnan,1 Kattai
2,Viraivaagave,Ghavambhodi,Koteeshwara-Iyer,43,https://www.youtube.com/watch?v=gWfuuVUtdeQ&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=73,1 Kattai
1,Duduku-Gala,Gowlai,Thyagaraja,15,https://www.youtube.com/watch?v=987mYPYmnG0&ab_channel=SonyMusicIndiaVEVO,7 Kattai
2,Duduku-Gala,Gowlai,Thyagaraja,15,https://www.youtube.com/watch?v=BjhmEjpUcvk&ab_channel=NithyasreeMahadevan-Topic,2 Kattai
